company_name,website,evidence_urls,investors,founder_background
Airbase,airbase.us,,,a16z
Babylon Labs,babylonlabs.io,,,a16z
Deeptune,deeptune.com,,,a16z
Ease Health,easehealth.com,,,a16z
Galadyne,galadyne.io,,,a16z
Glimpse,tryglimpse.com,,,a16z
Kairos,kairos.trade,,,a16z
Kavak,kavak.com,,,a16z
Mind Robotics,mindrobotics.com,,,a16z
Nexthop,nexthop.ai,,,a16z
Phylo,phylo.bio,,,a16z
Protege,withprotege.ai,,,a16z
Stipple Bio,stipple.bio,,,a16z
Temporal,temporal.io,,,a16z
Third Arc Bio,thirdarcbio.com,,,a16z
Treeline,treeline.ai,,,a16z
Abridge,abridge.com,,,a16z
Adaptive Security,adaptivesecurity.com,,,a16z
Aetherflux,aetherflux.com,,,a16z
Alleviate Health,alleviatehealth.care,,,a16z
Aztec,aztec.network,,,a16z
Backbone Systems,backbonesystems.ai,,,a16z
Boltz,boltz.bio,,,a16z
Braveheart,braveheart.bio,,,a16z
Catena Labs,catenalabs.com,,,a16z
Cluely,cluely.com,,,a16z
Destruction Labz,destructionlabz.com,,,a16z
EliseAI,eliseai.com,,,a16z
Equal IQ,equal-iq.com,,,a16z
FurtherAI,furtherai.com,,,a16z
Jito,jito.network,,,a16z
Kalshi,kalshi.com,,,a16z
Legend Labs,legend.xyz,,,a16z
Leona Health,leona.health,,,a16z
Mariana Minerals,marianaminerals.com,,,a16z
Merit Systems,merit.systems,,,a16z
OpenRouter,openrouter.ai,,,a16z
Periodic Labs,periodiclabs.ai,,,a16z
Phota Labs,photalabs.com,,,a16z
Podium Automation,podiumautomation.com,,,a16z
Poseidon,psdn.ai,,,a16z
Pryzm,pryzm.io,,,a16z
Reducto,reducto.ai,,,a16z
Relace,relace.ai,,,a16z
Revolut,revolut.com,,,a16z
Rillet,rillet.com,,,a16z
Seismic Systems,seismic.systems,,,a16z
Sharp Performance,sharpperformance.com,,,a16z
Shop Rodeo,shoprodeo.com,,,a16z
Sphere,getsphere.com,,,a16z
Standard Nuclear,standardnuclear.com,,,a16z
Stuut,stuut.co,,,a16z
Supersonik,supersonik.ai,,,a16z
Ternwheel,ternwheel.com,,,a16z
Thinking Machines Lab,thinkingmachines.ai,,,a16z
Truemed,truemed.com,,,a16z
Unisound,unisound.io,,,a16z
Unlimited Industries,unlimitedindustries.com,,,a16z
Wabi AI,wabi.ai,,,a16z
Yupp,yupp.ai,,,a16z
11x,11x.ai,,,a16z
Alpha-9 Oncology,a9oncology.com,,,a16z
Amca,amca.com,,,a16z
AminoChain,aminochain.io,,,a16z
Aradigm,aradigmhealth.com,,,a16z
Arena,arena.ai,,,a16z
Counsel Health,counselhealth.com,,,a16z
Diode,diode.computer,,,a16z
E-3 Tech,e-3.tech,,,a16z
Eve,eve.legal,,,a16z
Fashivly,fashivly.com,,,a16z
Feedplan,feedplan.com,,,a16z
GamerX Society,gamerxsociety.com,,,a16z
HappyRobot,happyrobot.ai,,,a16z
Infinite Machine,infinitemachine.com,,,a16z
Keycard,keycard.sh,,,a16z
KIKI World,kikiworld.io,,,a16z
Larridin,larridin.com,,,a16z
Mintlify,mintlify.com,,,a16z
North Pole Security,northpolesec.com,,,a16z
Promise,promise.ai,,,a16z
Raspberry AI,raspberry.ai,,,a16z
Safe Superintelligence,ssi.inc,,,a16z
Scene Infrastructure,sceneinfrastructure.com,,,a16z
Slingshot AI,slingshot.xyz,,,a16z
Swan,swan.tech,,,a16z
Tenex AI,tenex.ai,,,a16z
Timbucktoo,thetimbucktoo.com,,,a16z
Viggle,viggle.ai,,,a16z
Virch Merch,virchmerchshop.com,,,a16z
WaveForms AI,waveforms.ai,,,a16z
